,id,区域能耗,最佳角度
0,1,151198.5617770386,90
1,2,287615.64239796286,90
2,3,240854.71388893022,63
3,4,268164.34391361306,0
4,5,257197.40310133007,41
5,6,237824.71168314113,90
6,7,349854.0602247048,90
7,8,358434.8138415548,76
8,9,343888.50184158,50
9,10,337800.728844539,44
10,11,358504.818521537,41
11,12,302801.1536237762,42
12,13,362493.66189470066,134
13,14,334489.59873006924,179
14,15,534177.9844475664,159
15,16,390229.6293427305,158
16,17,543292.1858575614,129
17,18,565927.6426766851,1
18,19,530664.3757635726,8
19,20,388153.1124999959,0
20,21,405572.8749999959,90
21,22,388069.9167160839,179
22,23,349781.99820264976,43
23,24,342227.26883988007,39
24,25,341648.0326082221,50
25,26,266654.7120416499,178
26,27,223634.05443701276,90
27,28,351166.7283378003,136
28,29,397587.237499995,0
29,30,386847.774999996,0
30,31,416692.01309952856,112
31,32,381054.24999999616,0
32,33,381253.0480715986,179
33,34,382373.233694673,179
34,35,411862.3005285863,179
35,36,384491.637980334,179
36,37,376906.77499999537,0
37,38,335649.61995819554,44
38,39,376236.5144883428,1
39,40,298094.4596901205,83
40,41,382122.6999999926,90
41,42,424116.9242538204,123
42,43,394216.6629160346,158
43,44,407364.7499999956,0
44,45,388800.84891159344,146
45,46,399578.84050571546,179
46,47,398693.34999999614,0
47,48,381455.2249999961,0
48,49,396414.04607152235,179
49,50,399920.4928493914,179
50,51,323245.0230044803,179
51,52,377811.82499999093,0
52,53,470372.6835681876,2
53,54,410726.3749999954,0
54,55,446730.72499999555,0
55,56,413192.9321288871,35
56,57,395290.51448785287,1
57,58,412853.0242330839,45
58,59,423462.8749999958,0
59,60,413904.67499999586,0
60,61,413950.19459269254,45
61,62,408311.3560573647,1
62,63,338133.0499999928,0
63,64,347645.19372964604,0
64,65,303479.98856368894,49
65,66,389071.2427757456,1
66,67,392611.4943398531,28
67,68,389431.87714023073,1
68,69,375735.86249999586,0
69,70,382794.8624999958,0
70,71,387695.7298253423,34
71,72,383500.54999999603,0
72,73,410215.58245023846,35
73,74,415352.87271577696,179
74,75,388549.0668461662,179
75,76,370574.3315028057,179
76,77,119665.2388160068,179
77,78,258132.67591304664,152
78,79,385820.8406583377,179
79,80,388370.6249999954,0
80,81,393631.8061619672,179
81,82,395392.512499996,0
82,83,419219.9374999956,0
83,84,384227.93469194084,179
84,85,401740.36249999574,0
85,86,392190.7328722826,179
86,87,395739.6061931073,179
87,88,454154.8396243013,179
88,89,258391.47798419103,179
89,90,395267.44555710815,92
90,91,432520.9645431884,48
91,92,399234.4573575618,33
92,93,413693.91249999567,0
93,94,392103.40656938043,179
94,95,413140.2148254277,24
95,96,421397.9132366849,31
96,97,391920.72273543285,179
97,98,392168.0455415687,179
98,99,460034.36249999504,0
99,100,437259.2031781959,0
100,101,388956.18256323895,164
101,102,435038.5936269973,45
102,103,423532.4314591701,1
103,104,407440.9297866499,1
104,105,440470.25575506804,1
105,106,418311.7694096298,2
106,107,408952.69999999594,0
107,108,426368.42248894577,1
108,109,416247.1994059789,1
109,110,457671.053275306,178
110,111,221175.07876641018,33
111,112,394807.2922940725,1
112,113,397826.1982128911,1
113,114,411911.0499999963,0
114,115,392033.86249999586,0
115,116,403384.6499999961,0
116,117,418587.83749999607,0
117,118,388239.14999999554,90
118,119,366176.7608437496,179
119,120,388553.86782852275,179
120,121,397752.09847446607,179
121,122,434394.289078871,179
122,123,341155.9830761626,0
123,124,388037.81249999546,0
124,125,399557.82813390566,145
125,126,423152.46249999525,0
126,127,408448.72329042875,1
127,128,394113.15715431457,23
128,129,414202.81249999546,0
129,130,399122.5296400258,179
130,131,388638.4103962774,179
131,132,386958.43515363644,179
132,133,380599.0526150079,179
133,134,402400.59596608987,179
134,135,443141.8755148213,0
135,136,395385.4701465635,1
136,137,420820.1124999951,0
137,138,406467.17499999556,0
138,139,393316.3133472365,179
139,140,397163.70897578285,179
140,141,387402.8904590229,179
141,142,391605.462499996,0
142,143,395935.33749999566,0
143,144,402301.5859484636,179
144,145,388285.77538807807,0
145,146,495532.4466785348,179
146,147,500311.6789819714,135
147,148,397545.80003366806,1
148,149,415177.7512466629,1
149,150,426137.6238588866,146
150,151,421495.8401735636,1
151,152,414191.07004742883,2
152,153,403049.90756299667,1
153,154,409869.3478142294,1
154,155,418232.91695242387,1
155,156,369173.9248687738,45
156,157,400412.669125514,1
157,158,390857.5874999961,0
158,159,395482.39999999607,0
159,160,394353.3499999957,0
160,161,383952.50230386516,1
161,162,392283.9588566282,179
162,163,391488.0872913488,179
163,164,401488.0999999959,0
164,165,394693.8014409305,23
165,166,289151.32645643014,37
166,167,381921.9999999961,0
167,168,393747.40866112086,179
168,169,387388.37499999587,0
169,170,381948.95787611196,1
170,171,386446.27068402036,179
171,172,385537.3344733624,179
172,173,453563.0013158472,31
173,174,201145.23650485268,179
174,175,372780.83749999607,0
175,176,408198.0897954943,179
176,177,374470.234997234,179
177,178,368354.66996422707,177
178,179,372792.67357033474,179
179,180,410139.2416784186,179
180,181,291013.83216264204,179
181,182,447798.7987702128,178
182,183,550530.3070109036,170
183,184,453675.22082302,1
184,185,440643.2518233869,126
185,186,232360.4675131351,53
